,time,temperature
0,2018-12-28 09:20:28,84.0
0,2018-12-28 09:20:42,84.0
0,2018-12-28 09:20:55,84.0
0,2018-12-28 09:21:09,84.0
0,2018-12-28 09:21:22,84.0
0,2018-12-28 09:21:36,84.0
0,2018-12-28 10:27:11,85.0
0,2018-12-28 10:27:25,85.0
0,2018-12-28 10:27:38,85.0
0,2018-12-28 10:27:52,85.0
0,2018-12-28 10:28:05,85.0
0,2018-12-28 10:28:19,85.0
0,2018-12-28 10:28:32,85.0
0,2018-12-28 10:28:46,85.0
0,2018-12-28 10:28:59,85.0
0,2018-12-28 10:29:13,85.0
0,2018-12-28 10:29:26,85.0
0,2018-12-28 10:29:40,85.0
0,2018-12-28 10:29:54,85.0
0,2018-12-28 10:30:07,85.0
0,2018-12-28 10:30:21,85.0
0,2018-12-28 10:30:34,85.0
0,2018-12-28 10:30:48,85.0
0,2018-12-28 10:48:15,85.0
0,2018-12-28 10:48:28,85.0
0,2018-12-28 10:48:42,85.0
0,2018-12-28 10:48:55,85.0
0,2018-12-28 10:49:09,85.0
0,2018-12-28 10:49:22,85.0
0,2018-12-28 10:49:36,85.0
0,2018-12-28 10:49:49,85.0
0,2018-12-28 10:50:03,85.0
0,2018-12-28 10:50:16,85.0
0,2018-12-28 10:50:30,85.0
0,2018-12-28 10:50:43,85.0
0,2018-12-28 10:50:57,85.0
0,2018-12-28 10:51:10,85.0
0,2018-12-28 10:51:24,85.0
0,2018-12-28 10:51:37,85.0
0,2018-12-28 10:51:51,85.0
0,2018-12-28 10:52:04,85.0
0,2018-12-28 10:52:18,85.0
0,2018-12-28 10:52:32,85.0
0,2018-12-28 10:52:45,85.0
0,2018-12-28 10:52:59,85.0
0,2018-12-28 10:53:12,85.0
0,2018-12-28 10:53:26,85.0
0,2018-12-28 10:53:39,85.0
0,2018-12-28 10:53:53,85.0
0,2018-12-28 10:54:06,85.0
0,2018-12-28 10:54:20,85.0
0,2018-12-28 10:54:33,85.0
0,2018-12-28 10:54:47,85.0
0,2018-12-28 10:55:00,85.0
0,2018-12-28 10:55:14,85.0
0,2018-12-28 10:55:27,85.0
0,2018-12-28 10:55:41,85.0
0,2018-12-28 10:55:54,85.0
0,2018-12-28 10:56:08,85.0
0,2018-12-28 10:56:21,85.0
0,2018-12-28 10:56:35,85.0
0,2018-12-28 10:56:48,85.0
0,2018-12-28 10:57:02,85.0
0,2018-12-28 10:57:16,85.0
0,2018-12-28 10:57:29,85.0
0,2018-12-28 10:57:43,85.0
0,2018-12-28 10:57:56,85.0
0,2018-12-28 10:58:10,85.0
0,2018-12-28 10:58:23,85.0
0,2018-12-28 10:58:37,85.0
0,2018-12-28 10:58:51,85.0
0,2018-12-28 10:59:05,85.0
0,2018-12-28 10:59:18,85.0
0,2018-12-28 10:59:32,85.0
0,2018-12-28 10:59:45,85.0
0,2018-12-28 10:59:59,85.0
0,2018-12-28 11:00:12,85.0
0,2018-12-28 11:00:26,85.0
0,2018-12-28 11:00:39,85.0
0,2018-12-28 11:00:53,85.0
0,2018-12-28 11:01:06,85.0
0,2018-12-28 11:01:20,85.0
0,2018-12-28 11:01:33,85.0
0,2018-12-28 11:01:47,85.0
0,2018-12-28 11:02:00,85.0
0,2018-12-28 11:02:14,85.0
0,2018-12-28 11:02:28,85.0
0,2018-12-28 11:02:41,85.0
0,2018-12-28 11:02:55,85.0
0,2018-12-28 11:03:08,85.0
0,2018-12-28 11:03:22,85.0
0,2018-12-28 11:03:35,85.0
0,2018-12-28 11:03:49,85.0
0,2018-12-28 11:04:02,85.0
0,2018-12-28 11:04:16,85.0
0,2018-12-28 11:04:29,85.0
0,2018-12-28 11:04:43,85.0
0,2018-12-28 11:04:56,85.0
0,2018-12-28 11:05:10,85.0
0,2018-12-28 11:05:23,85.0
0,2018-12-28 11:05:37,85.0
0,2018-12-28 11:05:50,85.0
0,2018-12-28 11:06:04,85.0
0,2018-12-28 11:06:17,85.0
0,2018-12-28 11:06:31,85.0
0,2018-12-29 06:16:35,83.0
0,2018-12-29 06:16:48,83.0
0,2018-12-29 06:17:02,83.0
0,2018-12-29 06:17:15,83.0
0,2018-12-29 06:17:29,83.0
0,2018-12-29 06:17:42,83.0
0,2018-12-29 06:17:56,83.0
0,2018-12-29 06:18:09,83.0
0,2018-12-29 06:18:23,83.0
0,2018-12-29 06:18:36,83.0
0,2018-12-29 06:18:50,83.0
0,2018-12-29 06:19:03,83.0
0,2018-12-29 06:19:17,83.0
0,2018-12-29 06:19:30,83.0
0,2018-12-29 06:19:44,83.0
0,2018-12-29 06:19:58,83.0
0,2018-12-29 06:30:39,83.0
0,2018-12-29 06:30:53,83.0
0,2018-12-29 06:31:06,83.0
0,2018-12-29 06:31:20,83.0
0,2018-12-29 06:38:19,83.0
0,2018-12-29 06:38:32,83.0
0,2018-12-29 06:38:46,83.0
0,2018-12-29 06:38:59,83.0
0,2018-12-29 06:39:13,83.0
0,2018-12-29 06:39:26,83.0
0,2018-12-29 06:39:40,83.0
0,2018-12-29 06:39:53,83.0
0,2018-12-29 06:40:07,83.0
0,2018-12-29 06:40:47,83.0
0,2018-12-29 06:41:01,83.0
0,2018-12-29 06:41:15,83.0
0,2018-12-29 06:41:28,83.0
0,2018-12-29 06:41:42,83.0
0,2018-12-29 06:41:55,83.0
0,2018-12-29 06:42:09,83.0
0,2018-12-29 06:42:22,83.0
0,2018-12-29 06:42:36,83.0
0,2018-12-29 06:42:49,83.0
0,2018-12-29 06:43:03,83.0
0,2018-12-29 06:43:16,83.0
0,2018-12-29 06:43:30,83.0
0,2018-12-29 06:43:44,83.0
0,2018-12-29 06:43:57,83.0
0,2018-12-29 06:44:11,83.0
0,2018-12-29 06:44:24,83.0
0,2018-12-29 06:44:38,83.0
0,2018-12-29 06:44:51,83.0
0,2018-12-29 06:45:05,83.0
0,2018-12-29 06:45:18,83.0
0,2018-12-29 06:45:32,83.0
0,2018-12-29 06:45:45,83.0
0,2018-12-29 06:45:59,83.0
0,2018-12-29 06:46:12,83.0
0,2018-12-29 06:46:26,83.0
0,2018-12-29 06:46:39,83.0
0,2018-12-29 06:46:53,83.0
0,2018-12-29 06:47:06,83.0
0,2018-12-29 06:47:20,83.0
0,2018-12-29 06:47:33,83.0
0,2018-12-29 06:47:47,83.0
0,2018-12-29 06:48:00,83.0
0,2018-12-29 06:48:14,83.0
0,2018-12-29 06:48:27,83.0
0,2018-12-29 06:48:41,83.0
0,2018-12-29 06:48:54,83.0
0,2018-12-29 06:49:08,83.0
